      A            B             c            D                                  E             F                 G
  1 FY      CONTRACT NUMBER CONTRACT MOD PERFORMER   PROGRAM TITLE                        AWARD DATE        AMOUNT
 2
1420 1999   MDA97292J 1029   GR20       CNRI         INFORMATION MANAGEMENT                  12/10/1998        $687,000.00
1421        MDA97292J1 029   GR22       CNRI         COMMUNICATOR                             4/22/1999        $400,000.00
1422        MDA97292J1 029   GR22       CNRI         WEBINABOX                                4122/1999        $360,000.00
1423        MDA97292J1 029   P00025     CNRI         WEBINABOX                                8/24/1999                $0.00
1424        MDA972931 0030   P00009     GEORGIATEC   HIGH DEFINITION SYSTEMS (HDS)            1/29/1999      $1 ,210,694.00
1425        MDA9729320014    P00017     USDISPLAYC   FLAT PANEL DISPLAYS                      8116/1999      $5,794,000.00
1426        MDA97293C0016    P00043     SYSPLANCOR   CHPS: Combat Hybrid Power Systems          1nt1999          $79,441.00
1427        MDA97294C0003    A00003     BELLATLANT   NEXT GENERATION INTERNET                 8/28/1998                $0.00
1428        MDA97294C0003    P00026     BELLATLANT   NEXT GENERATION INTERNET                 1/2011999        $332,197.00
1429        MDA97294C0003    P00027     BELLATLANT   NEXT GENERATION INTERNET                   2/4/1999         $94,750.00
1430        MDA97294C0003    P00028     BELLATLANT   NEXT GENERATION INTERNET                 2/22/1999        $450,000.00
1431        MDA97294C0003    P00029     BELLATLANT   NEXT GENERATION INTERNET                   3/1/1999       $254,750.00
1432        MDA97294C0003    P00030     BELLATLANT   NEXT GENERATION INTERNET                 4/1 2/1999               $0.00
1433        MDA97294C0003    P00031     BELLATLANT   NEXT GENERATION INTERNET                 4/1 3/1999       $254,750.00
1434        MDA97294C0003    P00032     BELLATLANT   NEXT GENERATION INTERNET                   9/8/1999       $254,750.00
1435        MDA97294C0016    P00026     BDMFEDERAL   STOWACTD                                 2/1 2/1999       $117,000.00
1436        MDA97294C0016    P00027     BDMFEDERAL   STOWACTD                                   3/1/1999       $273,000.00
1437        MDA97294C0016    P00028     BDMFEDERAL   IMAGE UNDERSTANDING                      3/2911999        $150,166.00
