"MAJCOM, FOA, Etc",Organizational Level,Finding Type,Quantity,Item(s) discovered,Location
ACC,Staff,Unprofessional,1,photo,Workplace Common Area
ACC,Staff,Unprofessional,1,newspaper with unprofessional cover,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Bumper sticker,Car
ACC,Squadron,Unprofessional,6,signs with unproffesional language,Workplace Common Area
ACC,Squadron,Unprofessional,1,signs with unproffesional language,Workplace Common Area
ACC,Squadron,Unprofessional,1,signs with unproffesional language,Workplace Common Area
ACC,Squadron,Unprofessional,5,signs with unproffesional language,Workplace Common Area
ACC,Squadron,Unprofessional,3,unprofessional pictures,Workplace Common Area
ACC,Squadron,Unprofessional,1,unprofessional pictures,Workplace Common Area
ACC,Squadron,Unprofessional,2,unprofessional pictures,Workplace Common Area
ACC,Squadron,Unprofessional,1,unprofessional pictures,Workplace Common Area
ACC,Squadron,Unprofessional,4,unprofessional pictures,Workplace Common Area
ACC,Squadron,Unprofessional,5,unprofessional pictures,Workplace Common Area
ACC,Squadron,Unprofessional,1,unprofessional pictures,Workplace Common Area
ACC,Squadron,Unprofessional,1,unprofessional pictures,Workplace Common Area
ACC,Squadron,Unprofessional,1,unprofessional pictures,Workplace Common Area
ACC,Squadron,Unprofessional,4,unprofessional pictures,Workplace Common Area
ACC,Squadron,Unprofessional,1,unprofessional pictures,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,offensive item,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,offensive item,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,3,offensive item,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,offensive item,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,offensive item,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,offensive item,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,2,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,2,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,7,magazine,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,unprofessional Calendar,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,3,unprofessional Calendar,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,unprofessional Calendar,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,unprofessional Calendar,Workplace Common Area
ACC,Squadron,Pornograhic,1,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,2,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,1,catalog,Workplace Common Area
ACC,Squadron,Unprofessional,1,VHS tape,Workplace Common Area
ACC,Squadron,Unprofessional,1,Nose Art Poster,Workplace Common Area
ACC,Squadron,Unprofessional,1,Magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,Song Lyrics,Workplace Common Area
ACC,Squadron,Unprofessional,1,unprofessional pictures,Workplace Common Area
