Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2013-10-29,28-303,MIA,,CHI,W (+12),1,38:01,5,11,.455,0,1,.000,7,9,.778,0,6,6,8,1,0,2,0,17,16.9,+8
2,2,2013-10-30,28-304,MIA,@,PHI,L (-4),1,36:38,9,17,.529,4,7,.571,3,4,.750,0,4,4,13,0,0,4,3,25,21.4,-8
3,3,2013-11-01,28-306,MIA,@,BRK,L (-1),1,42:14,11,19,.579,1,2,.500,3,5,.600,1,6,7,6,2,1,5,2,26,19.9,-3
4,4,2013-11-03,28-308,MIA,,WAS,W (+10),1,34:41,9,14,.643,3,5,.600,4,5,.800,0,3,3,5,1,0,6,2,25,17.0,+16
5,5,2013-11-05,28-310,MIA,@,TOR,W (+9),1,36:01,13,20,.650,1,3,.333,8,8,1.000,2,6,8,8,0,1,1,2,35,33.9,+3
6,6,2013-11-07,28-312,MIA,,LAC,W (+5),1,37:09,6,13,.462,1,3,.333,5,9,.556,0,5,5,6,1,0,4,4,18,10.8,-1
7,7,2013-11-09,28-314,MIA,,BOS,L (-1),1,36:32,9,13,.692,0,0,,7,9,.778,1,7,8,10,0,0,5,1,25,23.1,+5
8,8,2013-11-12,28-317,MIA,,MIL,W (+23),1,29:58,13,21,.619,4,7,.571,3,6,.500,0,3,3,2,0,0,3,0,33,21.6,+14
9,9,2013-11-15,28-320,MIA,,DAL,W (+6),1,36:58,14,18,.778,1,1,1.000,10,11,.909,0,6,6,4,1,0,6,0,39,31.2,0
10,10,2013-11-16,28-321,MIA,@,CHA,W (+16),1,31:55,13,18,.722,0,0,,4,4,1.000,1,3,4,7,1,1,3,1,30,27.4,+7
11,11,2013-11-19,28-324,MIA,,ATL,W (+16),1,30:42,6,13,.462,0,0,,1,3,.333,2,4,6,5,1,0,3,0,13,9.6,+14
12,12,2013-11-20,28-325,MIA,@,ORL,W (+28),1,29:05,5,11,.455,0,2,.000,11,11,1.000,1,5,6,7,1,1,4,0,21,20.1,+23
13,13,2013-11-23,28-328,MIA,,ORL,W (+2),1,37:35,7,13,.538,3,6,.500,5,7,.714,0,9,9,7,3,0,3,0,22,22.5,+7
14,14,2013-11-25,28-330,MIA,,PHO,W (+15),1,33:21,11,14,.786,2,4,.500,11,11,1.000,0,5,5,4,1,1,4,0,35,31.6,+1
15,15,2013-11-27,28-332,MIA,@,CLE,W (+11),1,37:06,9,19,.474,1,3,.333,9,11,.818,0,8,8,8,3,0,1,3,28,26.3,0
16,16,2013-11-29,28-334,MIA,@,TOR,W (+7),1,36:27,10,17,.588,3,5,.600,4,6,.667,1,5,6,3,1,1,3,2,27,20.5,+3
17,17,2013-12-01,28-336,MIA,,CHA,W (+1),1,38:16,8,13,.615,1,3,.333,9,10,.900,0,5,5,4,1,1,3,0,26,22.7,-4
18,18,2013-12-03,28-338,MIA,,DET,L (-10),1,36:58,8,15,.533,2,5,.400,5,8,.625,3,2,5,6,2,1,6,2,23,17.3,-6
