town,articles,deaths_min,bureau_id,lat,target,deaths,country,deaths_max,number,children,tweet_id,lon,location,civilians,date,bij_summary_short,_id,bij_link,injuries,names
Marib,[],6,YEM001,15.47467,,6,Yemen,6,1,,2.78545E+17,45.322755,Marib Province,0,2002-11-03T00:00:00.000Z,"In the first known US targeted assassination using a drone, a CIA Predator struck a car killing six al Qaeda suspects.",52093bd98d8b4098c503823e,http://www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/,,"[u'Qa\u2019id Salim Sinan al-Harithi, Abu Ahmad al-Hijazi, Salih Hussain Ali al-Nunu, Awsan Ahmad al-Tarihi, Munir Ahmad Abdallah al-Sauda, Adil Nasir al-Sauda\u2019']"
Wana,[],6,B1,32.30512565,Nek Mohammed,8-Jun,Pakistan,8,2,2,2.78545E+17,69.57624435,South Waziristan,2,2004-06-17T00:00:00.000Z,"First known drone strike in Pakistan kills at least six, including infamous Taliban leader Nek Mohammad and two children. Wana, South Waziristan.",52093bd98d8b4098c503823f,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,1,"[u'Nek Mohammad, Fakhar Zaman, Azmat Khan, Marez Khan, Shahrukh Khan, Leetak, Sher Zaman Ashrafkhel']"
Toorikhel,[],2,B2,32.98677989,Haitham al-Yemeni,2,Pakistan,2,3,,2.78545E+17,70.26082993,North Waziristan,,2005-05-08T00:00:00.000Z,"Two killed, including Haitham al-Yemeni an al Qaeda explosives expert, near Mir Ali, North Waziristan.",52093bd98d8b4098c5038240,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,,"[u'Haitham al-Yemeni, Samiullah Khan']"
Mosaki,[],8,B3,32.99988191,Abu Hamza Rabia,8,Pakistan,8,4,3,2.78545E+17,70.34082413,North Waziristan,8-Mar,2005-11-05T00:00:00.000Z,"Failed strike against Abu Hamza Rabia (""al QaedaÛªs Number 3"") kills eight including three children.",52093bd98d8b4098c5038241,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,1,[u'']
Haisori,[],5,B4,33.00866349,Abu Hamza Rabia,5,Pakistan,5,5,2,2.78545E+17,70.04196167,North Waziristan,2,2005-12-01T00:00:00.000Z,"Syrian Abu Hamza Rabia, the senior al Qaeda operative targeted in B3, was killed with two other foreign militants and two boys, aged eight and 17.",52093bd98d8b4098c5038242,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,,"[u'Abu Hamza Rabia, Suleiman al-Moghrabi, Amer Azizi, Noor Aziz, Abdul Wasit']"
Saidgai,[],8,B5,33.09499311,,8,Pakistan,8,6,1,2.78545E+17,70.05912781,North Waziristan,4-Mar,2006-01-06T00:00:00.000Z,"An attack on an unnamed alleged al Qaeda official left eight killed, including two women and at least one child.",52093bd98d8b4098c5038243,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,9,[u'']
Damadola,[],13,B6,34.81549453,Ayman al-Zawahiri; Abu Khabab al-Masri; Abd Rahman al-Masri al-Maghribi; Abu Ubeidah al-Masri; Marwan al-Suri; Khalid Habib; Abdul Hadi al-Iraqi,13-22,Pakistan,22,7,5,2.78545E+17,71.4969635,Bajaur Agency,18-Oct,2006-01-13T00:00:00.000Z,"A strike targeted a possible militant commanders' meeting. But main target Ayman al Zawahiri was absent. Up to 22 people died, most or all civilians, including at least five children.",52093bd98d8b4098c5038244,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,,[u'']
Chenegai,[],81,B7,34.83634999,Maulvi Liaqat,81-83,Pakistan,83,8,69,2.78545E+17,71.49215698,Bajaur Agency,80-82,2006-10-30T00:00:00.000Z,"An attack on a madrassa (allegedly a ""Taliban training camp"") killed 81-83, including at least 69 children.",52093bda8d8b4098c5038245,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,3,"[u'Maulvi Liaqat, Mohammad Tahir (16), Maulvi Khaleefa, Azizul Wahab (15), Fazal Wahab (16), Ziauddin (16), Mohammad Yunus (16), Fazal Hakim (19), Ilyas (13), Sohail (07), Asadullah (09), Shoaib (08), Khalilullah (09), Noor Mohammad (08), Khalid (12), Saifullah (09), Razi Mohammad (16), Mashooq Jan (15), Nawab (17), Sultanat Khan (16), Mohammad Yaas Khan (16), Qari Alamzeb (14), Ghulam Nabi (21), Ziaur Rahman (17), Abdullah (18), Ikramullah (17), Inayatur Rahman (16), Shahbuddin (15), Yahya Khan (16), Rahatullah, (17), Khan (21), Mohammad Salim (11), Shahjehan (15), Gul Sher Khan (15), Bakht Muneer (14), Numair (14), Mashooq Khan (16), Ihsanullah (16), Luqman (12), Salman (16), Jannatullah (13), Ismail (12), Taseel Khan (18), Zaheeruddin (16), Qari Ishaq (19), Jamshed Khan (14), Alam Nabi (11), Qari Abdul Karim (19), Rahmatullah (14), Abdus Samad (17), Siraj (16), Saeedullah (17), Abdul Waris (16), Darvesh (13), Ameer Said (15), Shaukat (14), Inayatur Rahman (17), Ziaur Rahman (13), Noor Mohammad (15), Naeemullah (17),        Hizbullah (10), Kitab Gul (12), Wilayat Khan (11), Zabihullah (16), Shehzad Gul (11), Shabir (15), Qari Sharifullah (17), Shafiullah (16), Nimatullah (14), Shakirullah (16), Talha (08), Jamroz Khan, Fazal Wahab (18), Rahman (13), Wali-ur-Rahman (17), Iftikhar (17), Inayatullah (15), Adnan (16), Najibullah (13)']"
Zamazola,[],8,B8,32.83575063,,8,Pakistan,8,9,0-1,2.78545E+17,69.55581665,South Waziristan,8,2007-01-16T00:00:00.000Z,"Initial claims of 30 Taliban killed were lowered to eight deaths, who villagers insist were all innocent woodcutters.",52093bda8d8b4098c5038246,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,,"[u'Katoor Khan, Taj Alam']"
Saidgai,[],3,B9,33.09499311,Maulvi Noor Mohammed,4-Mar,Pakistan,4,10,,2.78545E+17,70.05912781,North Waziristan,4,2007-04-27T00:00:00.000Z,"Attack on a house and madrassa killed 3-4, reportedly all named civilians.",52093bda8d8b4098c5038247,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/,9,[u'']
