Name,Address,City,Category,Rating,URL
Freda's Caribbean & Soul Cuisine,993 Columbus Ave,New York,Caribbean,4.0,http://www.yelp.com/biz/fredas-caribbean-and-soul-cuisine-new-york
Sura Thai Kitchen,2656 Broadway,New York,Thai,4.0,http://www.yelp.com/biz/sura-thai-kitchen-new-york
Buster's,892 Amsterdam Ave,New York,American (New),4.5,http://www.yelp.com/biz/busters-new-york
Tum & Yum,917 Columbus Ave,New York,Thai,4.0,http://www.yelp.com/biz/tum-and-yum-new-york-2
Maoz Vegetarian,2857 Broadway,New York,Vegetarian,4.0,http://www.yelp.com/biz/maoz-vegetarian-new-york-6
Milano Market,2892 Broadway,New York,Grocery,4.0,http://www.yelp.com/biz/milano-market-new-york
Roti Roll Bombay Frankie,994 Amsterdam Ave,New York,Indian,4.0,http://www.yelp.com/biz/roti-roll-bombay-frankie-new-york
Curry Club,254 W 108th St,New York,Indian,4.5,http://www.yelp.com/biz/curry-club-new-york
Doaba Deli,945 Columbus Ave,New York,Indian,4.5,http://www.yelp.com/biz/doaba-deli-new-york
Jin Ramen,3183 Broadway,New York,Ramen,4.0,http://www.yelp.com/biz/jin-ramen-new-york
Sushi Sushi,54 Tiemann Pl,New York,Sushi Bars,4.0,http://www.yelp.com/biz/sushi-sushi-new-york
SEASONED VEGAN,55 Saint Nicholas Ave,New York,Vegetarian,4.5,http://www.yelp.com/biz/seasoned-vegan-new-york-2
Dig Inn Seasonal Market,2884 Broadway,Manhattan,American (Traditional),3.5,http://www.yelp.com/biz/dig-inn-seasonal-market-manhattan-8
Miss Mamie's Spoonbread Too,366 W 110th St,New York,Southern,3.0,http://www.yelp.com/biz/miss-mamies-spoonbread-too-new-york
Chapati House,3153 Broadway,New York,Indian,4.0,http://www.yelp.com/biz/chapati-house-new-york
Patisserie Des Ambassades,2200 8th Ave,New York,Bakeries,3.0,http://www.yelp.com/biz/patisserie-des-ambassades-new-york
MAKANA,161 W 106th St,New York,Hawaiian,3.5,http://www.yelp.com/biz/makana-new-york-2
Max Caffe,1262 Amsterdam Ave,New York,Italian,3.5,http://www.yelp.com/biz/max-caffe-new-york
Le Monde,2885 Broadway,New York,French,3.0,http://www.yelp.com/biz/le-monde-new-york-3
Taqueria y Fonda La Mexicana,968 Amsterdam Ave,New York,Mexican,4.0,http://www.yelp.com/biz/taqueria-y-fonda-la-mexicana-new-york-2
