Name,Address,City,Category,Rating,URL
Rambling House,4292 Katonah Ave,Bronx,Pubs,4.0,http://www.yelp.com/biz/rambling-house-bronx
Curry Spot,4268 Katonah Ave,Bronx,Indian,4.0,http://www.yelp.com/biz/curry-spot-bronx
Eileens Country Kitchen,964 McLean Ave,Yonkers,American (Traditional),3.5,http://www.yelp.com/biz/eileens-country-kitchen-yonkers
Ali's Roti Shop,4220 White Plains Rd,Bronx,Trinidadian,4.0,http://www.yelp.com/biz/alis-roti-shop-bronx
HIM Ital Health Food Market,4374b White Plains Rd,Bronx,Health Markets,4.5,http://www.yelp.com/biz/him-ital-health-food-market-bronx-2
Patrizia's of Woodlawn,4358 Katonah Ave,Bronx,Italian,3.5,http://www.yelp.com/biz/patrizias-of-woodlawn-bronx
Avitable Bros,1016 McLean Ave,Yonkers,Delis,4.5,http://www.yelp.com/biz/avitable-bros-yonkers
Katonah Pizza & Pasta,4307 Katonah Ave,Bronx,Pizza,3.5,http://www.yelp.com/biz/katonah-pizza-and-pasta-bronx
Vegans Delight,3565 Boston Rd,New York,Vegan,4.0,http://www.yelp.com/biz/vegans-delight-new-york
Sal's Pizzeria & Restaurant,1160 Yonkers Ave,Yonkers,Pizza,3.0,http://www.yelp.com/biz/sals-pizzeria-and-restaurant-yonkers
La Grotta Trattoria,811 McLean Ave,Yonkers,Italian,4.5,http://www.yelp.com/biz/la-grotta-trattoria-yonkers
Angelo Pizzeria,986 McLean Ave,Yonkers,Pizza,3.5,http://www.yelp.com/biz/angelo-pizzeria-yonkers
Cooyah Restaurant,3563 Boston Rd,New York,Ethnic Food,4.5,http://www.yelp.com/biz/cooyah-restaurant-new-york
China Top,3563 Boston Road,Bronx,Chinese,3.5,http://www.yelp.com/biz/china-top-bronx
Heritage Bar & Restaurant,960 McLean Ave,Yonkers,Bars,4.0,http://www.yelp.com/biz/heritage-bar-and-restaurant-yonkers
Wendy's,3636 Boston Rd,Bronx,Fast Food,3.5,http://www.yelp.com/biz/wendys-bronx
Valentino's,132 Bronx River Rd,Yonkers,Italian,4.0,http://www.yelp.com/biz/valentinos-yonkers
Mt Vernon Deli King,238 W Lincoln Ave,Mount Vernon,Delis,4.5,http://www.yelp.com/biz/mt-vernon-deli-king-mount-vernon
Burger King,3500 Boston Rd,Bronx,Burgers,3.0,http://www.yelp.com/biz/burger-king-bronx-12
Rory Dolan's Restaurant & Bar,890 McLean Ave,Yonkers,Irish,3.5,http://www.yelp.com/biz/rory-dolans-restaurant-and-bar-yonkers
Dallas BBQ,2160 Bartow Ave,Bronx,Barbeque,2.5,http://www.yelp.com/biz/dallas-bbq-bronx-2
Panera Bread,340 Baychester Ave,Bronx,Sandwiches,3.5,http://www.yelp.com/biz/panera-bread-bronx
Good To Go,1894 Eastchester Rd,Bronx,American (Traditional),3.5,http://www.yelp.com/biz/good-to-go-bronx
Smashburger,847 Pelham Pkwy,Pelham Manor,Burgers,3.5,http://www.yelp.com/biz/smashburger-pelham-manor
Caridad and Louie's Restaurant,1660 E Gun Hill Rd,Bronx,Italian,3.5,http://www.yelp.com/biz/caridad-and-louies-restaurant-bronx
Yumi,802 Pelham Pkwy,Pelham Manor,Japanese,3.5,http://www.yelp.com/biz/yumi-pelham-manor
Sorrento Pizzeria,2004 Williamsbridge Rd,Bronx,Pizza,4.5,http://www.yelp.com/biz/sorrento-pizzeria-bronx
