time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-06-11T10:29:41.460Z,3.8846,128.127,35,4.6,mb,,115,3.183,1.11,us,usc000rduu,2014-06-11T10:58:01.811Z,"238km N of Tobelo, Indonesia",earthquake
2014-06-11T10:01:37.300Z,18.8446,-67.3032,19,2.7,Md,12,219.6,0.41681829,0.21,pr,pr14162000,2014-06-11T10:56:40.606Z,"44km NNW of San Antonio, Puerto Rico",earthquake
2014-06-11T09:42:29.770Z,36.8868,-97.6655,2.22,2.8,mb_lg,,59,0.196,0.34,us,usc000rdue,2014-06-11T10:04:15.122Z,"10km NE of Medford, Oklahoma",earthquake
2014-06-11T09:38:05.760Z,35.0040016,-116.9153366,2.31,4,ml,59,45,0.107,0.13,ci,ci15510833,2014-06-11T11:00:51.545Z,"15km NE of Barstow, California",earthquake
2014-06-11T09:08:23.680Z,9.716,125.7011,44.32,5,mb,,26,9.038,0.9,us,usc000rdu3,2014-06-11T10:26:48.466Z,"12km ENE of Placer, Philippines",earthquake
2014-06-11T07:31:00.320Z,27.4817,129.1883,32.84,5,mb,,109,1.039,0.89,us,usc000rdtl,2014-06-11T07:49:16.208Z,"102km SSW of Naze, Japan",earthquake
2014-06-11T06:20:33.200Z,40.5852,-124.085,17.2,2.5,Md,22,158.4,0.16169675,0.1,nc,nc72236031,2014-06-11T10:22:07.491Z,"4km NNE of Hydesville, California",earthquake
2014-06-11T06:15:02.400Z,19.1408,-64.7338,14,3,Md,5,298.8,0.72763538,0.18,pr,pr14162005,2014-06-11T07:59:40.310Z,"81km N of Road Town, British Virgin Islands",earthquake
2014-06-11T04:33:52.900Z,18.089,-66.1735,18,2.9,Md,13,108,0.13744224,0.21,pr,pr14162001,2014-06-11T04:53:55.128Z,"2km SSW of Cayey, Puerto Rico",earthquake
2014-06-11T04:05:19.000Z,19.2649,-64.8087,32,3,Md,10,291.6,0.86238267,0.31,pr,pr14162003,2014-06-11T05:11:39.262Z,"96km NNW of Road Town, British Virgin Islands",earthquake
2014-06-11T03:53:41.320Z,34.7604,28.3701,74,5,mb,,48,1.264,1.24,us,usc000rdrr,2014-06-11T04:39:57.218Z,"134km SE of Karpathos, Greece",earthquake
2014-06-11T03:51:29.000Z,60.3816,-152.4262,100,3.3,ml,,,,0.77,ak,ak11288644,2014-06-11T04:00:35.483Z,"20km ESE of Redoubt Volcano, Alaska",earthquake
2014-06-11T01:58:55.000Z,59.9278,-154.2261,100,2.9,ml,,,,3.22,ak,ak11288603,2014-06-11T10:01:30.987Z,"43km ENE of Old Iliamna, Alaska",earthquake
2014-06-11T01:13:22.000Z,61.1764,-140.213,0,2.5,ml,,,,0.73,ak,ak11288589,2014-06-11T09:16:00.084Z,"153km WNW of Haines Junction, Canada",earthquake
2014-06-11T01:06:39.740Z,36.6920013,-121.3221664,4.26,3.03,ml,61,27,0.02419,0.06,nc,nc72235941,2014-06-11T06:29:06.417Z,"13km SSE of Ridgemark, California",earthquake
2014-06-11T00:59:52.400Z,19.4417,-68.3236,63,3,Md,8,334.8,1.84244465,0.18,pr,pr14162004,2014-06-11T09:02:26.234Z,"91km NE of Miches, Dominican Republic",earthquake
2014-06-11T00:00:05.500Z,38.4028,-122.5153,1.3,2.8,Md,13,115.2,0.22457882,0.38,nc,nc72235846,2014-06-11T06:18:47.017Z,"2km ESE of Kenwood, California",earthquake
2014-06-10T23:59:51.600Z,38.8202,-122.7947,3.1,3,Ml,54,21.6,0.00898315,0.05,nc,nc72235841,2014-06-11T05:30:06.111Z,"5km NW of The Geysers, California",earthquake
2014-06-10T23:47:29.400Z,-2.8186,129.9645,38,4.2,mb,,111,2.283,0.4,us,usc000rdq4,2014-06-11T07:49:57.632Z,"129km ENE of Amahai, Indonesia",earthquake
2014-06-10T21:32:41.800Z,18.485,-66.1706,76,2.6,Md,5,223.2,0.36561432,0.1,pr,pr14161009,2014-06-11T05:35:11.868Z,"4km NNE of Levittown, Puerto Rico",earthquake
2014-06-10T20:51:16.100Z,36.315,-96.7955,5,2.6,ml,,95,,0.41,us,usc000rdmc,2014-06-11T08:28:11.772Z,"2km SSE of Pawnee, Oklahoma",earthquake
2014-06-10T20:40:26.400Z,2.7102,128.4759,71.21,4.4,mb,,125,2.221,0.68,us,usc000rdlg,2014-06-11T04:42:52.561Z,"120km NNE of Tobelo, Indonesia",earthquake
2014-06-10T20:15:58.350Z,40.5876667,-124.0876667,17.59,2.71,md,31,128,0.1667,0.1,nc,nc72235746,2014-06-11T04:32:05.820Z,"4km N of Hydesville, California",earthquake
2014-06-10T19:26:01.980Z,-1.9805,128.2868,42.7,4.9,mb,,41,2.884,0.81,us,usc000rdis,2014-06-11T03:28:31.364Z,"97km SE of Laiwui, Indonesia",earthquake
2014-06-10T19:13:52.100Z,18.3656,-65.1945,106,2.8,Md,3,327.6,0.10150963,0.02,pr,pr14161008,2014-06-11T03:16:23.912Z,"13km ENE of Culebra, Puerto Rico",earthquake
2014-06-10T18:49:00.610Z,-6.8573,154.5277,48.38,5.2,mb,,20,3.542,0.9,us,usc000rdi1,2014-06-11T02:52:16.424Z,"121km WSW of Panguna, Papua New Guinea",earthquake
2014-06-10T18:26:14.700Z,-6.7723,154.6418,13.23,5.4,mb,,18,3.558,0.98,us,usc000rdha,2014-06-11T02:28:43.809Z,"105km WSW of Panguna, Papua New Guinea",earthquake
2014-06-10T17:11:09.450Z,-16.0749,-75.1729,33.17,4.7,mb,,153,4.374,0.91,us,usc000rdf5,2014-06-11T01:15:06.367Z,"92km SW of Acari, Peru",earthquake
2014-06-10T16:55:38.000Z,62.1833,-153.33,3.1,2.9,ml,42,75.5999939520005,1.357354,0.81,ak,ak11288051,2014-06-11T00:58:08.128Z,"144km SE of McGrath, Alaska",earthquake
2014-06-10T16:11:43.100Z,40.2985,-124.5052,20.4,2.6,Md,26,255.6,0.1706799,0.1,nc,nc72235556,2014-06-11T05:01:05.977Z,"37km SSW of Ferndale, California",earthquake
2014-06-10T15:57:07.200Z,18.5422,-66.4708,14,2.5,Md,10,216,0.08533995,0.15,pr,pr14161007,2014-06-10T23:59:47.075Z,"9km NNE of Tierras Nuevas Poniente, Puerto Rico",earthquake
